,comments
360,刚刚不是GT5吗？？？
361,精彩
362,草
363,super面筋舌
364,山一起去吃
365,小鸟下面有一个炮弹。。。。。玩炮弹。。。
366,我舔
367,曾经在太空监狱里卡关了好久
368,精彩
369,舔人下体
370,蛮羊骑士
371,wtf
372,用心做bug，用脚做游戏
373,羊癫疯
374,23333
375,精彩!
376,没人啊？
377,不是卡上了    那个是彩蛋   山羊骑士
378,精彩
379,水煮全羊
380,截屏扫码
381,截屏扫码
382,⊙∀
383,精彩
384,精彩
385,精彩精彩精彩精彩精彩
386,精彩 精彩 精彩 精彩 精彩 精彩 精彩
387,精彩
388,壁走轮椅
389,逮虾户
390,我来证明你开了弹幕
391,我来证明你开了弹幕
392,我来证明你开了弹幕
393,精彩
394,达尔文因言语过于激烈而被禁言
395,金坷垃
396,精彩
397,信仰之跃好评(刺客粉路过)
398,我靠
399,我带你去扑街
400,哇⊙∀⊙！
401,正宗街舞
402,感觉良好
403,哈哈哈
404,你对原力一无所知
405,老子
406,收获日
407,一脚999
408,牛逼
409,哈哈哈
410,哇
411,额
412,表示玩过
413,畜牲
414,街舞
415,精彩
416,精彩
417,精彩
418,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
419,玩过
420,终于不水视频了呀，老嫖客
421,hhh
422,什么鞭？
423,有个up学狗叫
424,天狗真是牛逼
425,游戏特色
426,6666666666666666
427,精彩
428,你都没给钱，赔什么钱
429,畜生
430,精彩
431,骑着单车的我俩
432,唯一有过的拥抱
433,，
434,无中生友
435,牛顿以哭晕在厕所
436,用羊什么？？！
437,这糟糕的声音！
438,牛顿再次哭晕在厕所
439,精彩
440,精彩
441,精彩
442,精彩*N
443,woc石头门
444,猥琐
445,B站的题太变态
446,旋转跳跃我闭着眼
447,开口跪
448,弹幕护体
449,终于对模拟山羊下手了
450,↑别这么说，明明是作者造bug的时候，不小心造出了个游戏
451,压寨夫人
452,咣该……
453,羊jio
454,233
455,逮虾户
456,两开花
457,SCP-682收容失效……[信号中断]
458,光剑!
459,逮虾户
460,精彩
461,精彩
462,精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩
463,过审老国王
464,我自由了
465,只有我听到了QQ消息提示音？
466,精彩
467,汪汪汪汪汪
468,僵尸
469,僵尸
470,僵尸
471,呜呜呜呜
472,气球
473,菜鸟
474,哈哈哈哈哈哈哈哈哈哈哈哈哈
475,紫色计数君好评
476,非常流弊
477,王第一?
478,黑bug
479,这！就是颠风
480,干干巴巴，麻麻赖赖，盘他！
481,模拟van♂样
482,wow♂
483,WEEEEE
484,羊什么？
485,他们突然都开始抽羊癫疯
486,右边NPC在干嘛！
487,什么？
488,哈哈哈质子中子原子的笑死我
489,精彩
490,可以很秃啊
491,飞檐走壁都可以，还需要陪伴？
492,精彩
493,失去同步
494,艸
495, 出现了，量子纠缠
496,终于更新了
497,精彩
498,精彩
499,育碧
500,物理引擎真好
501,屮
502,就我觉得这个水有点吓人吗
503,大家看一下，梦回的b站档案写着他系女的耶
504,暂停学姿势
505,？？？
506,黑“嫖”客
507,当场去世
508,精彩
509,表示玩过
510,我也让山羊“坐”了摩天轮，摩天轮，摩天轮～
511,水旁边的墙上的管道里有惊喜哦，我试过（可能是彩蛋）
512,精彩
513,233
514,我每天都带成家班去攻沙，经验一直掉
515,其实它是金坷垃
516,...
517,这就是街舞
518,人呢
519,模拟山羊MMO
520,僵尸山羊
521,汤米？
522,模拟山羊收获日
523,火箭联盟
524,我需要碰撞！
525,米青采彡
526,这游戏是全是bug还是bug就是游戏。。。
527,哈哈哈哈哈哈哈
528,这个游戏本来就是玩bug的
529,这是什么游戏
530,经常精彩
531,来，镖客，摆哈儿龙门阵
532,2333333
533,2333333
534,精彩
535,模拟山羊MMO
536,精彩
537,一包金坷垃
538,感觉镖客变得好凶
539,精彩
540,精彩
541,刚刚好像是096的叫声
542,收获日
543,放屁。。。。
544,逮虾户
545,精彩
546,你是魔鬼吗
547,精彩
548,精彩
549,僵尸山羊
550,太空废物
551,虐杀原形海豚版
552,一方通行
553,说到飞我就想到了孙悟空的筋斗云，开花开花
554,逮虾户
555,瞬移挂
556,刺客信条
557,逮虾户
558,精彩
559,骑大马~
560,哈哈哈哈哈
561,大型失踪人口回归现场
562,这游戏叫什么
563,精彩
564,双 飞 人
565,开口跪
566,精彩
567,玩过
568,玩过
569,精彩
570,残疾臀
571,准备精彩
572,精彩
573,精彩
574,精彩
575,精彩
576,哈哈
577,答题好累
578,答题好累
579,换封面了
580,骑羊男下
581,都残了还皮
582,僵尸
583,清水炖羊
584,233333
585,羊什么
586,精彩
587,下水道不是有美人鱼的吗
588,双飞???
589,精彩
590,精彩！
591,哈哈哈哈哈哈哈哈哈
592,哈哈哈哈哈哈哈哈哈
593,模拟山羊
594,泪目
595,喇叭
596,playday版
597,。。。
598,等个精彩容易吗我们
599,精彩
600,屮
601,虐杀原形3：残疾海豚
602,66666666666666
603,66666666666666
604,下水道有忍者神龟的
605,每个版本我都玩过。
606,多玛姆，我是来谈恋爱的
607,2333333
608,精彩
609,逮虾户
610,他对引力的把控不是很到位
611,这个是那个给猩猩做的智力实验，估计是个菜单
612,这个版本贼好玩
613,模拟山羊玩的就是bug
614,这游戏没有bug将好无乐趣
615,精彩！
616,精彩
617,j精彩
618,不愧是育碧制作的
619,精彩
620,游戏特色
621,䒑
622,我知道这个bug哈哈哈哈
623,泪目
624,泪目
625,泪目
626,玩过！
627,get down！！！！！！
628,蜘蛛侠的眼泪
629,精彩
630,求bgm
631,失踪人口回归
632,羊什么？
633,疯了
634,白色金坷垃
635,BGM  Laurence
636,普金
637,精彩
638,66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
639,过审老国王
640,大力支持
641,精彩
642,超喜欢玩模拟山羊
643,盘它
644,卖鱼强快来
645,盘它
646,米青采彡
647,愤怒的小鸟哈哈哈
648,逮虾夫
649,羊利伟
650,从下水道里面出来后不管靠近什么都会剧烈抽搐
651,还可以骑自行车的m
652,消灭处女屏
653,转过身来和我握手。
654,软骨僵尸在线街舞
655,精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩
656,卧槽
657,过审小王子回归
658,火箭联盟？
659,火箭联盟的车
660,我是牛顿，我已报警
661,卫星
662,顶一下发电机惊喜
663,真●霍鲸
664,scp096的叫声?
665,米青采彡
666,前方ufo
667,MMO
668,payday
669,精彩
670,路过
671,六亲不认的步伐
672,DLC更有意思
673,吓死我了哈哈
674,哈哈
675,哈哈
676,没有我镖客卡不出的BUG
677,模拟山羊
678,陪你大爷，这比正常人都强
679,这个还有异性羊，能丢蛋送别人抱脸虫
680,哈哈哈哈哈哈哈
681,精彩
682,精彩
683,这款游戏的bug是这款游戏的精髓
684,屮
685,过审急速车王
686,什么鞭？
687,辐射工兵？。。
688,V3火箭车？。。
689,欢迎回来！！
690,精彩
691,放屁声
692,win～
693,mmo特别好玩
694,这个是单机游戏，里面的都是npc
695,すばらしい
696,沙雕哈哈哈哈哈哈
697,烤全羊
698,精彩！！！
699,米青釆彡
700,精彩！
701,粗鄙之语
702,go go go
703,黑x客，一百年专注卡八个
704,哈哈哈哈呵呵呵
705,怎么这么卡哇伊。。
706,好软
707,前方高能
708,哈哈哈哈哈干嘛
709,哈哈哈哈哈
710,唉๑•́₃•̀๑收获日
711,精彩
712,说的好
713,海豚A哥
714,我要甜你下体
715,精彩
716,精彩
717,噗
718,精彩
719,薇~！
720,声音？
721,愤怒的小鸟
722,火烈鸟
723,精彩
724,某幻君：啊，多么美妙的胴体
725,啊，不——要，镖客
726,万有引力
727,精彩
728,精彩
729,哈哈哈哈哈啊哈哈
730,行侠仗义
731,精彩
732,你为何不把它保存在你的背包呢？
733,这个我各种版本都有玩过！！手机版！
734,不如就此相忘于陈尸间
735,有人吗
736,精彩精彩精彩精彩精彩精彩
737,这游戏很好玩
738,二维码是坐标
739,精彩
740,精彩
741,supe面筋羊
742,八号打假赛的提前倒下
743,是你!娜可露露!
744,sans!
745,尻！
746,我以出仓，感脚良好
747,精彩
748,墙，切下双飞
749,hh
750,牛逼
751,枪神纪双枪哈哈哈
752,scp022！是你了！
753,又卡bug了……
754,牛批
755,我是一个猥琐的人，专门舔鸟下体
756,你们没玩过放屁气球吗。。。。
757,蛋疼不
758,老长时间没看了
759,真·羊抽风
760,096尖叫
761,真—愤怒的小鸟
762,放开她让我来
763,更新了！
764,23333
765,八号打假赛的提前倒下！
766,236个朋友你们好
767,我来活跃一下气氛
768,哎呀妈呀脑瓜疼脑瓜疼
769,哈
770,哈哈
771,哈哈哈哈
772,呵呵哈哈哈
773,额
774,太空废物
775,我是嫖客词汇收集君
776,我是嫖客词汇收集君傻轩！
777,多多指教鸭~~
778,词汇：猥琐山羊
779,词汇：我是一只有原则的山羊
780,你要爪子
781,词汇：唉呀妈呀脑瓜疼
782,词汇：原地踏步走
783,词汇：搞♂一♂搞
784,词汇：&*（）……#*（）2￥
785,词汇：super面筋羊
786,词汇：肆意妄为的扭曲
787,词汇：weiiiiiiiiiiiiiiiii
788,词汇：润滑一下
789,词汇：（粗鄙之语）
790,词汇：羊鞭
791,词汇：感jio劳资马上就要出车祸（慢了一秒鸭。。）
792,词汇：飙cei
793,词汇：大锅
794,词汇：汪汪汪汪汪汪
795,词汇：下切（妈耶又慢一秒。。）
796,词汇：两幅很愉悦的样子
797,词汇：我是一只猥琐山羊
798,词汇：一脸懵P
799,词汇：江服骗子
800,打假羊驼━((*′д｀)爻(′д｀*))━!!!!
801,词汇：屋头仙人
802,词汇：粗鄙之语
803,没骚话了好蓝瘦鸭~
804,词汇：weiiiiiiiiiiiiii
805,词汇：额啊啊啊啊啊啊啊啊啊
806,词汇：残疾豚
807,灵车漂移233
808,你见过边吐槽边词汇的词汇君嘛
809,词汇：踩bia
810,词汇：信仰之跃
811,词汇：好好玩哪，太好玩哪
812,傻轩先去新视频辣~拜拜
813,升级
814,粗鄙粗鄙粗鄙
815,精彩
816,难离难舍
817,想抱紧些
818,火箭联盟？？？
819,这个雕像是什么鬼
820,模拟山羊？
821,我记得有手机版的
822,VAN♂you see
823,23333333333333333
824,好妖艳
825,承包处女屏
826,离心力
827,三星
828,spacesheep
829,你是魔鬼吗！
830,浆糊片子老师！
831,在牛顿发明地心引力之前，人类是可以飞的
832,卖鸡小子雷德
833,这个是罪恶都市的地图吗？好像啊
834,承包空屏
835,我需要碰撞！
836,wryyyyyyyyyyyyyyyyyy！！！！！
837,wryyyyyyyyyyyy!!!!!!
838,自♂由
839,卧槽精彩
840,二维码扫出来的结果是一个坐标
841,精彩
842,罪恶都市的商场吗？
843,精彩
844,精彩
845,舔#1
846,舔#2
847,舔#3
848,舔#4
849,扫出了个坐标
850,牛顿要复活了
851,精彩
852,声音瞬间变回来
853,泪目
854,举起手来直视感
855,精彩
856,精彩
857,过审老王子
858,传奇屁王( •́ὤ•̀)
859,笑死了
860,这是神马游戏
861,山羊信条-僵尸
862,超级
863,精彩！
864,跳进火山可以解锁火山山羊，可以吧僵尸石化
865,精彩
866,娜可露露？
867,我喷了我一屏幕水
868,23333333333
869,233333333
870,你们都是魔鬼
871,你们快跑，牛顿的棺材板已经压不住了
872,比翼双飞
873,他们？？？
874,精彩
875,李鴻章
876,艸
877,开光嘴
878,古天乐绿了！！
879,哈哈哈哈哈
880,老洞游戏
881,什么游戏啊
882,精彩
883,精彩
884,还有忍者神龟
885,精彩
886,scp
887,精彩！！！！！！！
888,泪目
889,逛gay
890,模拟山羊mmo
891,精彩
892,丁德成
893,魔鬼
894,不骗你们，我华为手机所有版本都玩过，有一个版本还通关了
895,收获日通关的有多少人，举个爪爪我看看
896,停，别继续往下划屏幕了，看看下面这行字“你很棒！明天请继续加油！”OK，可以划走啦!只是以防万一今天一整天都没有人夸你
897,精彩
898,巴士得板
899,的风格独特的风格风格出发更改
900,好嗨哟
901,你比较厉害
902,wow
903,羊什么？
904,单车欲问边，属国过居延
905,模拟山羊:mmo
906,模拟山羊:僵尸
907,模拟山羊:收获日
908,比翼双飞
909,，- ̗̀(๑ᵔ⌔ᵔ๑)
910,粉尘爆炸
911,模拟山羊:太空废物
912,搞一搞♂
913,精彩
914,精彩
915,失踪人口回归
916,精彩
917,馆住攻仲號《黑ก猫ก有ก错》制服学妹E盘珍藏天天更新（搞快点）
918,馆住攻仲號《黑ก猫ก有ก错》制服学妹E盘珍藏天天更新（搞快点）
919,EX-面筋羊
920,精彩
921,cp022！
922,逮羊户
923,scp-黑嫖客
924,精彩
925,这是模拟山羊
926,羊什么⊙∀⊙？
927,羊什么？
928,羊什么？
929,羊什么？
930,羊什么？
931,吸附着地面
932,这个版本个人认为最好玩，啪啪游戏厅可以下载，名字叫模拟山羊:太空废物
933,精彩
934,自由
935,托马斯全旋
936,精彩
937,666666666
938,精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩
939,精彩
940,精彩精彩
941,精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩精彩
942,精彩精彩精彩
943,精彩精彩精彩精彩
944,精彩精彩精彩精彩精彩
945,舔人什么？？
946,模拟山羊好评
947,van一van
948,笑死
949,精彩
950,精彩
951,逮虾户
952,牛顿：这里不归我管，归我弟弟牛逼管
953,猎头鸟
954,手机都有这些版本
955,羊鞭
956,多年不见。要高产了吗
957,黑镖客的声音好搞笑好有喜感!
958,233333333
959,这个我。。。也卡过
960,又是这个。。。见n多回了
961,黑镖客是四川人
962,万源人，
963,求路人的心理阴影面积233
964,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
965,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
966,这音乐好怀念
967,模拟山羊！！！
968,？？？？！
969,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
970,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
971,致敬火箭联盟
972,OFo
973,太空山羊。。好怀念，去去年暑假玩的
974,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
975,熟悉的bgm
976,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
977,哈哈哈哈哈哈哈
978,扫一下，有奇迹
979,哈哈哈哈哈哈哈呵呵哈哈呵呵
980,僵尸版的
981,干干巴巴的
982,麻麻赖赖的
983,一点儿都不圆润
984,盘！他
985,啊啊啊
986,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
987,哈哈哈哈哈哈哈(ಡωಡ)hiahiahia
988,精彩：为什么要C我？
989,精彩！
990,精彩
991,青菜
992,好嗨哟感觉镖客马上就要出车祸。
993,没有我黑嫖客卡不出的bug！
994,连个草泥马都什么？？？
995,被新手教程吓到过
996,还是喜欢鸟
997,???
998,精彩
999,精彩
